كود المحافظة,كود المدينة,المدينة,كود المنطقة,المنطقة,كود الحي,الحي,كود المجاورة,المجاورة, رقم القطعة , مساحة القطعة , نسبة التميز , عدد القطع المتاحة ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 670 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 679 , 559 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 681 , 534 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 682 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 683 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 686 , 520 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 689 , 489 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 699 , 576 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 711 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 714 , 559 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 717 , 499 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 720 , 500 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 722 , 545 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 727 , 545 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 729 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 732 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 735 , 552 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 738 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 739 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 744 , 508 , 1.170 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 745 , 479 , 1.170 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 747 , 608 , 1.190 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 751 , 500 , 1.130 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,673 ", 569 , 1.160 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,674 ", 600 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,675 ", 569 , 1.130 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,676 ", 538 , 1.160 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,677 ", 538 , 1.090 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,678 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,679 ", 600 , 1.100 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,680 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,681 ", 600 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,682 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,683 ", 600 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,684 ", 600 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,685 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,686 ", 552 , 1.170 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,687 ", 569 , 1.160 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,688 ", 569 , 1.160 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,689 ", 569 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,690 ", 779 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,691 ", 764 , 1.100 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,692 ", 707 , 1.100 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,693 ", 818 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,694 ", 748 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,695 ", 716 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,696 ", 691 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,697 ", 769 , 1.140 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,698 ", 599 , 1.140 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,699 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,700 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,701 ", 600 , 1.140 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,702 ", 600 , 1.140 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,703 ", 600 , 1.020 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,704 ", 600 , 1.020 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,705 ", 600 , 1.140 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,706 ", 552 , 1.190 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,707 ", 569 , 1.090 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,708 ", 552 , 1.140 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,709 ", 552 , 1.180 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,710 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,711 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,712 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,713 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,714 ", 600 , 1.100 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,715 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,716 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,717 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,718 ", 600 , 1.130 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,719 ", 600 , 1.090 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,720 ", 600 , 1.090 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,721 ", 600 , 1.130 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,722 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,723 ", 600 , 1.090 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,724 ", 664 , 1.090 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,725 ", 590 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,726 ", 636 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,727 ", 625 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,728 ", 646 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,729 ", 651 , 1.090 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,730 ", 648 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,731 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,732 ", 600 , 1.050 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,733 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,734 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,735 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,736 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,737 ", 637 , 1.140 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,738 ", 620 , 1.205 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,739 ", 595 , 1.140 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,740 ", 549 , 1.170 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,741 ", 599 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,742 ", 590 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,743 ", 561 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,744 ", 569 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,745 ", 646 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,746 ", 600 , 1.090 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,747 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,748 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,749 ", 600 , 1.090 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,750 ", 693 , 1.170 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,751 ", 694 , 1.160 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,752 ", 642 , 1.130 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,753 ", 623 , 1.180 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,754 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,755 ", 600 , 1.020 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,756 ", 600 , 1.020 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,757 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,758 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,759 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,760 ", 600 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,761 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,762 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,763 ", 600 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,764 ", 600 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,765 ", 600 , 1.080 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,766 ", 569 , 1.140 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,767 ", 569 , 1.130 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,768 ", 569 , 1.100 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,769 ", 552 , 1.165 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,770 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,771 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,772 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,773 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,774 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,775 ", 600 , 1.060 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,776 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,777 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,778 ", 600 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,779 ", 600 , 1.050 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,780 ", 579 , 1.050 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,781 ", 613 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,782 ", 626 , 1.120 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,783 ", 572 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,784 ", 502 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,785 ", 585 , 1.160 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,786 ", 526 , 1.160 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,787 ", 542 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,788 ", 565 , 1.160 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,789 ", 543 , 1.160 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,790 ", 555 , 1.040 , 1 ,,,,,,,,,,,,,
17,8,السادات,1,حي الروضة,1,الروضة,1,الروضة," 1,791 ", 600 , 1.040 , 1 ,,,,,,,,,,,,,
